specialties,company_name,industry,contact_phone,contact_email,company_website,contact_name,designation,city_id,building_location,admin_id,contact_name_notes,company_address
,"St.Claire Real Estate, LLC",,971 4 454 2751,inquiry@stclair.ae,http://www.stclair.ae,Wallery,Receptionist,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,advise to mail,REsend the Email
,"Ecotec Global, LTD",,9.72E+11,,http://www.ecotecgl.com/,,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Not valid number,Not valid number
,Hitzarabia.com,,97144529546,,https://www.hitzarabia.com/,,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Not valid number,Not valid number
,The Real Estate,,97144521010,info@therealestate.ae,http://www.therealestate.ae/,Mr.Abdul,It Manager,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Advise to mail,REsend the Email
,TJ Real Estate Brokers,,97144223372,info@tjre.ae,http://www.tjre.ae/,Tressa,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Advise to mail,Adv will call back
,GIG Real Estate,,971 4 451 9992,olga@gulfinvestgroup.com,http://www.gulfinvestgroup.com,Olga,Office Manager,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Advise to mail,No Responses
,Ok Dubai Holidays,,9.72E+11,contact@okdubaihoildays.com,http://www.okdubaiholidays.com,,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Disconnected,
,"Eye On Realty, LLC",,971554664567/97143623352,info@eyeonrealty.co,http://www.eyeonrealty.co,,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,No Responses,No Responses
,"Home Lab Properties, LLC",,97144297966,info@homelabdubai.com/stay@800stay.com,http://homelabdubai.com,Sheron,0,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Advise will send mail,Adv that forwars an email to concern person.he is will back after a week
,NYPD,,9.72E+11,,,,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Disconnected,
,"Aurora Advertising, LLC",,971 4 4562921,contact@auroraadvertising.ae,http://www.auroraadvertising.ae/,,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,Not intersted,
,"BrandAid, LLC",,971 4 554 5839,randa@brandaid.com,http://www.brandaiduae.com/,Judie,,TECOM,SMART HEIGHT OFFICE TOWER,Anisha1,advise will mail,Adv to call back after an hour
